game_no,Home_team,Away_team,half_time_score,home_score,away_score,home_odds,draw_odds,away_odds,outcome,home_wins,draws_no,away_wins,game_count,game_id
6,MCI,LUT,0-0,3,1,1.3,5.75,9.5,1,1,0,2,3,173
7,LUT,EVE,0-1,0,3,3.1,3.4,2.35,2,1,0,2,3,197
8,MUN,CRY,2-0,2,0,1.62,4.45,4.85,1,2,1,1,4,198
9,LIV,WHU,0-2,3,2,1.85,4.2,3.75,1,3,2,0,5,167
10,MCI,MUN,0-0,1,0,1.86,4.3,3.65,1,1,0,1,2,199
1,MUN,WHU,0-0,1,0,1.83,4.15,3.85,1,1,0,0,1,200
2,MCI,ARS,0-0,0,1,1.97,4.05,3.45,2,5,0,1,6,190
3,LIV,MCI,0-1,2,2,2.35,4.15,2.65,x,0,1,1,2,201
4,MUN,FUL,0-0,1,1,1.47,4.9,6.0,x,1,2,0,3,193
5,MCI,CHE,1-2,2,2,1.91,4.05,3.65,x,0,1,2,3,202
6,MCI,ARS,0-0,1,0,2.5,3.6,2.7,1,5,0,1,6,190
7,FUL,BUR,0-0,2,1,2.0,3.7,3.65,1,1,0,1,2,127
8,EVE,FUL,0-1,0,2,1.9,3.7,4.0,2,2,0,1,3,102
9,LUT,FUL,0-1,0,2,2.55,3.5,2.7,2,0,0,2,2,203
10,LIV,AST,1-0,1,0,2.0,4.1,3.3,1,1,3,0,4,158
1,MCI,CHE,0-2,0,2,1.91,4.05,3.65,2,0,1,2,3,202
2,MUN,CRY,2-0,4,1,1.62,4.45,4.85,1,2,1,1,4,198
3,FUL,ARS,1-0,2,0,3.7,3.95,1.92,1,1,0,1,2,172
4,FUL,MCI,0-3,0,3,4.0,4.1,1.81,2,0,1,4,5,149
5,MCI,CRY,0-0,2,2,1.52,4.65,5.75,x,1,1,1,3,194
6,LUT,CHE,0-0,1,1,4.35,3.9,1.78,x,0,2,1,3,161
7,NEW,FUL,1-1,2,1,1.53,4.5,5.75,1,3,0,0,3,204
8,LUT,CRY,0-1,0,4,2.95,3.55,2.35,2,1,0,1,2,157
9,MUN,CRY,0-0,1,1,1.62,4.45,4.85,x,2,1,1,4,198
10,CRY,WHU,0-1,0,1,2.3,4.05,2.75,2,2,0,1,3,117
1,MUN,BHA,1-1,1,2,2.04,3.95,3.3,2,1,0,1,2,205
2,LIV,WHU,0-0,2,2,1.85,4.2,3.75,x,3,2,0,5,167
3,EVE,LIV,1-0,1,1,2.75,3.8,2.4,x,0,2,1,3,130
4,MCI,BHA,0-1,0,1,1.88,4.0,3.8,2,0,1,1,2,206
5,NOT,EVE,1-1,1,3,2.7,3.6,2.55,2,0,2,1,3,207
6,EVE,TOT,1-0,1,0,2.75,3.55,2.5,1,1,0,0,1,208
7,MUN,CRY,0-2,2,3,1.62,4.45,4.85,2,2,1,1,4,198
8,CRY,NOT,2-0,3,0,1.8,4.05,4.1,1,1,0,0,1,209
9,MUN,MCI,0-1,1,1,2.3,4.05,2.75,x,0,2,1,3,210
10,MUN,AST,0-2,0,2,1.97,4.05,3.45,2,0,0,2,2,211
1,MCI,AST,1-2,3,2,1.82,4.1,3.95,1,2,1,0,3,192
2,MCI,FUL,0-0,0,0,1.39,5.25,7.25,x,0,1,0,1,212
3,LUT,LIV,0-1,0,3,4.15,4.2,1.76,2,0,0,2,2,213
4,LIV,FUL,2-1,4,4,1.48,4.95,6.0,x,1,1,0,2,168
5,LIV,TOT,0-1,2,2,2.01,4.15,3.25,x,1,1,0,2,214
6,LUT,LIV,0-0,1,2,4.15,4.2,1.76,2,0,0,2,2,213
7,LUT,WOL,0-0,2,1,2.8,3.45,2.55,1,1,1,1,3,180
8,NEW,FUL,1-1,2,1,1.97,4.05,3.45,1,3,0,0,3,204
9,LIV,LUT,0-1,0,1,1.36,5.5,7.75,2,1,0,1,2,215
10,LIV,TOT,4-1,6,2,2.01,4.15,3.25,1,1,1,0,2,214
1,MUN,BOU,0-0,1,0,1.38,5.25,7.5,1,1,0,1,2,216
2,LUT,MUN,1-1,1,1,4.3,4.15,1.74,x,0,1,0,1,217
3,LUT,FUL,0-1,0,2,3.7,3.95,1.92,2,0,0,2,2,203
4,MUN,AST,0-2,1,2,1.97,4.05,3.45,2,0,0,2,2,211
5,FUL,LIV,0-1,1,1,3.35,4.1,2.0,x,0,1,0,1,218
6,MCI,NOT,2-2,3,3,1.34,5.75,8.0,x,1,3,0,4,219
7,LUT,EVE,0-1,1,2,3.1,3.4,2.35,2,1,0,2,3,197
8,MCI,ARS,2-1,3,2,1.97,4.05,3.45,1,5,0,1,6,190
9,NEW,AST,1-0,3,2,2.05,3.8,3.35,1,2,0,2,4,220
10,NEW,ARS,1-0,2,0,2.25,3.8,2.95,1,1,2,0,3,221
1,MUN,MCI,0-0,2,2,2.3,4.05,2.75,x,0,2,1,3,210
2,MUN,NEW,0-0,1,0,2.04,4.05,3.25,1,3,0,0,3,222
3,LIV,MCI,1-2,1,2,2.8,3.95,2.3,2,0,1,1,2,201
4,FUL,MCI,2-2,5,5,4.0,4.1,1.81,x,0,1,4,5,149
5,NOT,EVE,0-0,0,0,2.7,3.6,2.55,x,0,2,1,3,207
6,MCI,NOT,2-2,3,3,1.32,5.5,9.25,x,1,3,0,4,219
7,MUN,ARS,0-0,1,0,2.16,4.05,3.0,1,1,0,0,1,223
8,NEW,FUL,1-1,4,1,1.53,4.5,5.75,1,3,0,0,3,204
9,NEW,MUN,1-3,2,5,2.12,4.0,3.1,2,2,0,2,4,224
10,MCI,EVE,2-1,4,2,1.58,4.35,5.5,1,1,1,0,2,160
1,SHU,LUT,0-1,2,1,2.13,3.5,3.45,1,2,0,0,2,225
2,SHU,MUN,0-0,0,2,4.05,4.05,1.81,2,0,1,2,3,226
3,MCI,SHU,2-0,2,0,1.33,5.5,8.75,1,1,0,0,1,227
4,MCI,WOL,1-2,3,2,1.48,4.7,6.25,1,1,1,0,2,228
5,NEW,BRE,2-0,4,0,1.72,3.95,4.75,1,2,2,0,4,229
6,NOT,ARS,0-2,3,2,3.95,4.1,1.82,1,1,1,2,4,230
7,NEW,TOT,0-1,2,2,2.06,3.85,3.3,x,1,4,0,5,231
8,MCI,BHA,0-0,0,0,1.88,4.0,3.8,x,0,1,1,2,206
9,MUN,LIV,1-0,1,2,1.97,4.35,3.25,2,0,0,2,2,232
10,NOT,LUT,1-0,3,0,3.95,4.1,1.82,1,4,1,0,5,233
1,MCI,BOU,1-0,1,1,1.32,5.5,9.25,x,0,1,0,1,234
2,NOT,FUL,1-1,2,1,2.23,3.75,3.0,1,2,0,0,2,235
3,LUT,EVE,0-0,1,0,3.1,3.4,2.35,1,1,0,2,3,197
4,NEW,AST,0-1,1,2,2.05,3.8,3.35,2,2,0,2,4,220
5,LIV,LUT,2-0,3,1,2.05,3.8,3.35,1,1,0,1,2,215
6,LUT,AST,1-1,3,2,4.0,3.75,1.89,1,1,0,0,1,236
