,homeTeam,awayTeam,homeOdds,drawOdds,awayOdds,homePastWins,homePastDraws,homePastLosses,awayPastWins,awayPastDraws,awayPastLosses,homeGoalDiff,awayGoalDiff,result,check
17,13,7,4.1,3.8,1.85,7,3,6,7,3,6,-5,3,2,SHU - CHE
18,2,4,2.17,3.8,3.1,8,5,3,6,2,8,10,-3,2,TOT - NEW
19,15,16,1.82,3.75,4.35,7,4,5,3,4,9,5,-12,1,WOL - LUT
0,12,15,1.55,4.45,5.75,12,7,5,9,8,7,12,5,0,ARS - WOL
1,1,3,2.5,3.8,2.6,9,8,7,13,4,7,7,12,2,AST - MCI
2,14,16,1.43,4.75,7.25,8,2,14,5,6,13,-3,-16,1,BHA - LUT
3,18,9,2.95,3.7,2.3,4,8,12,13,3,8,-12,21,2,BRE - MUN
4,7,19,1.41,4.85,7.5,11,5,8,5,6,13,5,-17,0,CHE - BOU
5,8,13,1.77,3.85,4.5,10,4,10,10,4,10,-5,-3,2,CRY - SHU
6,5,11,1.9,3.7,4,8,4,12,6,6,12,-7,-18,2,EVE - FUL
7,4,17,1.46,4.65,6.75,10,3,11,9,10,5,-1,4,0,NEW - BUR
8,10,0,3.55,4.25,1.88,10,3,11,15,2,7,-11,16,1,NOT - LIV
9,6,2,2.35,3.7,2.85,10,5,9,11,6,7,5,6,0,WHU - TOT
10,12,19,1.37,5.25,8.25,13,7,5,5,6,14,14,-18,0,ARS - BOU
11,14,10,1.48,4.7,6.25,8,3,14,10,4,11,-3,-11,2,BHA - NOT
12,18,1,2.8,3.5,2.5,4,8,13,9,8,8,-13,6,2,BRE - AST
13,7,6,1.87,3.9,3.9,12,5,8,11,5,9,6,7,1,CHE - WHU
14,5,16,1.71,3.85,4.95,8,4,13,5,7,13,-10,-16,0,EVE - LUT
15,11,15,2.35,3.55,3,7,6,12,9,8,8,-15,3,2,FUL - WOL
16,0,13,1.4,5.25,7,15,3,7,11,4,10,16,-1,1,LIV - SHU
17,3,2,1.82,4.15,3.9,14,4,7,11,6,8,13,4,2,MCI - TOT
18,9,17,1.41,5,7,14,3,8,9,10,6,22,2,2,MUN - BUR
19,4,8,1.69,4.15,4.7,11,3,11,10,4,11,1,-7,1,NEW - CRY
20,19,15,2.7,3.4,2.6,5,6,15,10,8,8,-19,4,1,BOU - WOL
21,17,1,3.65,3.7,1.99,10,10,6,10,8,8,5,8,2,BUR - AST
22,8,9,2.9,3.9,2.25,10,5,11,14,3,9,-7,19,1,CRY - MUN
23,0,4,2.07,4.1,3.15,15,4,7,11,4,11,16,1,1,LIV - NEW
24,16,11,2.55,3.5,2.7,5,7,14,7,6,13,-19,-16,0,LUT - FUL
25,3,7,1.91,4.05,3.65,14,4,8,12,6,8,11,6,0,MCI - CHE
26,10,5,2.7,3.6,2.55,11,4,11,9,4,13,-8,-7,0,NOT - EVE
27,13,14,3.95,3.7,1.92,11,5,10,8,3,15,-1,-6,1,SHU - BHA
28,2,18,1.75,3.9,4.55,12,6,8,4,8,14,6,-15,0,TOT - BRE
29,6,12,2.6,3.75,2.55,11,6,9,14,7,5,7,15,2,WHU - ARS
30,1,8,1.75,4.05,4.45,11,8,8,10,6,11,9,-7,0,AST - CRY
31,18,7,3,3.55,2.3,4,8,15,12,6,9,-17,4,1,BRE - CHE
32,5,13,1.77,3.75,4.7,9,4,14,11,6,10,-9,-1,1,EVE - SHU
33,11,19,1.94,3.7,3.85,7,6,14,5,7,15,-17,-19,2,FUL - BOU
34,0,9,2.07,4.3,3.05,15,5,7,14,4,9,16,19,0,LIV - MUN
35,16,10,2.4,3.65,2.85,6,7,14,12,4,11,-18,-6,0,LUT - NOT
